"date","vehicle_type","direction","travel_type","hour_of_day","trip_count","avg_trip_length"
"20260309","31","N","entering","11","541","52.08"
"20260309","31","N","entering","12","500","58.32"
"20260309","31","N","entering","13","542","51.51"
"20260309","31","N","entering","14","589","52.59"
"20260309","31","N","entering","15","572","48.65"
"20260309","31","N","entering","16","638","42.03"
"20260309","31","N","entering","17","699","38.9"
"20260309","31","N","entering","18","592","39.68"
"20260309","31","N","entering","19","416","48.25"
"20260309","31","N","entering","20","363","50.12"
"20260309","31","N","entering","21","328","46.79"
"20260309","31","N","entering","22","245","37.23"
"20260309","31","N","entering","23","127","34.93"
"20260309","31","N","exiting","11","444","21.32"
"20260309","31","N","exiting","12","446","22.25"
"20260309","31","N","exiting","13","474","21.4"
"20260309","31","N","exiting","14","520","21.23"
"20260309","31","N","exiting","15","588","22.86"
"20260309","31","N","exiting","16","665","22.68"
"20260309","31","N","exiting","17","871","19.54"
"20260309","31","N","exiting","18","723","20.63"
"20260309","31","N","exiting","19","465","21.52"
"20260309","31","N","exiting","20","416","19.67"
"20260309","31","N","exiting","21","387","19.1"
"20260309","31","N","exiting","22","240","23.68"
"20260309","31","N","exiting","23","192","22.67"
"20260309","31","N","passing","11","1685","84.62"
"20260309","31","N","passing","12","1736","84.94"
"20260309","31","N","passing","13","1804","81.2"
"20260309","31","N","passing","14","1994","85.85"
"20260309","31","N","passing","15","1999","83.65"
"20260309","31","N","passing","16","1990","68.64"
"20260309","31","N","passing","17","2040","60.67"
"20260309","31","N","passing","18","1750","61.86"
"20260309","31","N","passing","19","1326","72.2"
"20260309","31","N","passing","20","1100","75.96"
"20260309","31","N","passing","21","1093","67.17"
"20260309","31","N","passing","22","723","73.87"
"20260309","31","N","passing","23","467","75.26"
"20260309","31","S","entering","11","496","20.46"
"20260309","31","S","entering","12","518","21.93"
"20260309","31","S","entering","13","554","20.95"
"20260309","31","S","entering","14","605","19.84"
"20260309","31","S","entering","15","591","20.54"
"20260309","31","S","entering","16","767","19.76"
"20260309","31","S","entering","17","1014","17.4"
"20260309","31","S","entering","18","869","16.59"
"20260309","31","S","entering","19","554","17.87"
"20260309","31","S","entering","20","480","18.11"
"20260309","31","S","entering","21","403","19.89"
"20260309","31","S","entering","22","217","22.36"
"20260309","31","S","entering","23","169","19.7"
"20260309","31","S","exiting","11","523","53.94"
"20260309","31","S","exiting","12","540","49.17"
"20260309","31","S","exiting","13","565","50.27"
"20260309","31","S","exiting","14","567","51.19"
"20260309","31","S","exiting","15","682","49.09"
"20260309","31","S","exiting","16","715","41.69"
"20260309","31","S","exiting","17","881","36.29"
"20260309","31","S","exiting","18","707","29.84"
"20260309","31","S","exiting","19","679","34.36"
"20260309","31","S","exiting","20","472","34.99"
"20260309","31","S","exiting","21","370","44.0"
"20260309","31","S","exiting","22","288","45.94"
"20260309","31","S","exiting","23","165","49.44"
"20260309","31","S","passing","11","1744","79.99"
"20260309","31","S","passing","12","1764","78.57"
"20260309","31","S","passing","13","1867","77.69"
"20260309","31","S","passing","14","2135","78.81"
"20260309","31","S","passing","15","2119","68.06"
"20260309","31","S","passing","16","2431","62.18"
"20260309","31","S","passing","17","2852","48.04"
"20260309","31","S","passing","18","2613","45.75"
"20260309","31","S","passing","19","2275","53.5"
"20260309","31","S","passing","20","1664","62.79"
"20260309","31","S","passing","21","1235","69.91"
"20260309","31","S","passing","22","747","76.16"
"20260309","31","S","passing","23","421","81.3"
"20260309","32","N","entering","11","189","44.37"
"20260309","32","N","entering","12","151","60.18"
"20260309","32","N","entering","13","209","52.82"
"20260309","32","N","entering","14","236","48.71"
"20260309","32","N","entering","15","205","45.59"
"20260309","32","N","entering","16","191","40.04"
"20260309","32","N","entering","17","178","42.11"
"20260309","32","N","entering","18","106","38.97"
"20260309","32","N","entering","19","70","41.73"
"20260309","32","N","entering","20","64","45.34"
"20260309","32","N","entering","21","70","35.55"
"20260309","32","N","entering","22","46","39.87"
"20260309","32","N","entering","23","35","24.98"
"20260309","32","N","exiting","11","252","21.01"
"20260309","32","N","exiting","12","158","22.78"
